epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5347,2.94353,7.49242,1.97317,0.50123,0.48632,0.4713,0.27854,2.887,3.48734,1.97397,0.000415162,0.000415162,0.000415162
2,164.733,2.99962,4.29689,2.01295,0.63299,0.57135,0.58473,0.3278,2.92973,2.31933,2.00153,0.000823594,0.000823594,0.000823594
3,240.718,3.02795,3.01127,2.02916,0.64719,0.57301,0.58915,0.34002,3.03329,2.26354,1.99196,0.00122378,0.00122378,0.00122378
4,315.805,2.96923,2.50337,2.02872,0.67418,0.61388,0.63726,0.37846,2.89826,2.1189,1.99161,0.00121287,0.00121287,0.00121287
5,391.135,2.91985,2.241,2.00068,0.69852,0.61346,0.65485,0.39323,2.87105,1.97455,1.96869,0.0012005,0.0012005,0.0012005
6,466.175,2.87842,2.1371,1.97309,0.73353,0.63039,0.68343,0.4124,2.86466,1.85465,1.94945,0.00118812,0.00118812,0.00118812
7,540.869,2.81956,1.97835,1.95877,0.80352,0.6854,0.73499,0.43808,2.7966,1.60439,1.93965,0.00117575,0.00117575,0.00117575
8,615.814,2.76009,1.90772,1.94912,0.77621,0.65484,0.72231,0.4428,2.69366,1.68007,1.91981,0.00116337,0.00116337,0.00116337
9,691.829,2.72286,1.84882,1.92507,0.81152,0.65991,0.72574,0.44655,2.67145,1.63932,1.92625,0.001151,0.001151,0.001151
10,766.742,2.69356,1.79596,1.92182,0.76454,0.67718,0.7098,0.4317,2.67294,1.70593,1.9192,0.00113863,0.00113863,0.00113863
11,842.539,2.65072,1.6929,1.90582,0.83786,0.67774,0.7388,0.45667,2.66706,1.53102,1.91182,0.00112625,0.00112625,0.00112625
12,918.81,2.63894,1.69824,1.89282,0.82985,0.70249,0.76678,0.46929,2.65653,1.4957,1.92549,0.00111388,0.00111388,0.00111388
13,995.444,2.61579,1.64093,1.89936,0.85274,0.69658,0.77332,0.46531,2.60333,1.51032,1.90655,0.0011015,0.0011015,0.0011015
14,1071.42,2.5937,1.59832,1.8791,0.80654,0.72196,0.77664,0.48913,2.54747,1.43268,1.87685,0.00108913,0.00108913,0.00108913
15,1148.04,2.56487,1.53772,1.87702,0.85834,0.70371,0.77453,0.48929,2.54097,1.40197,1.87252,0.00107675,0.00107675,0.00107675
16,1224.42,2.58937,1.58204,1.87546,0.79145,0.67377,0.75008,0.47125,2.55922,1.58867,1.87924,0.00106437,0.00106437,0.00106437
17,1301.12,2.5213,1.5254,1.8666,0.82551,0.71851,0.76943,0.48731,2.54194,1.39892,1.8794,0.001052,0.001052,0.001052
18,1377.08,2.50798,1.51895,1.85907,0.85973,0.71599,0.7933,0.49675,2.51814,1.37303,1.86603,0.00103962,0.00103962,0.00103962
19,1453.06,2.51876,1.47381,1.86028,0.83965,0.71473,0.77502,0.48283,2.52355,1.45528,1.86729,0.00102725,0.00102725,0.00102725
20,1529.48,2.50201,1.43969,1.84979,0.84766,0.72984,0.79927,0.50506,2.516,1.34928,1.87169,0.00101488,0.00101488,0.00101488
21,1606.25,2.45059,1.42011,1.84615,0.86543,0.70545,0.78118,0.50217,2.45332,1.36248,1.85931,0.0010025,0.0010025,0.0010025
22,1682.31,2.47968,1.42206,1.84566,0.86734,0.70555,0.79188,0.51116,2.49517,1.30543,1.87312,0.000990125,0.000990125,0.000990125
